address,suburb,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory,built_in_wardrobes
35-elliot-street-reservoir-vic-3073,Reservoir,774000,12-Dec-2020,3,1,3,505,m2,House,https://www.domain.com.au/35-elliot-street-reservoir-vic-3073-2016648815,Internal Laundry*-Secure Parking*-Dishwasher*-Heating-Close to transport-Close to shops-Renovator's Delight-Small Development Site (STCA),1-1.3-6.5,3,Dec/2020/774000.0/SOLD-Mar/2020/730000.0/SOLD,0
7-delaware-street-reservoir-vic-3073,Reservoir,960000,07-Dec-2020,3,1,2,696,m2,House,https://www.domain.com.au/7-delaware-street-reservoir-vic-3073-2016660761,Built in wardrobes*-Internal Laundry*-Swimming Pool*-Bath*-Heating*-Dishwasher*-Garden*-Balcony / Deck*,0.5-1.3-5.4,3,Dec/2020/960000.0/SOLD-Dec/2018/845000.0/SOLD-Nov/1980/30000.0/SOLD,1
54-lindenow-street-reservoir-vic-3073,Reservoir,677500,05-Dec-2020,3,1,2,545,m2,House,https://www.domain.com.au/54-lindenow-street-reservoir-vic-3073-2016619192,Garden*-Air conditioning-Built in wardrobes-Close to schools-Close to shops-Close to transport-Secure Parking-Formal Lounge-woodfire pizza oven-ample storage,0.2-0.3-7.4,3,Dec/2020/677500.0/SOLD,1
37-king-william-street-reservoir-vic-3073,Reservoir,1290000,05-Dec-2020,3,1,2,657,m2,House,https://www.domain.com.au/37-king-william-street-reservoir-vic-3073-2016602460,Secure Parking*-Garden*,0.4-1.6-1.7,3,Dec/2020/1290000.0/SOLD,0
19-frankston-street-reservoir-vic-3073,Reservoir,850000,02-Dec-2020,3,1,1,472,m2,House,https://www.domain.com.au/19-frankston-street-reservoir-vic-3073-2016652082,Internal Laundry*-Secure Parking*-Heating*-Study*-Garden*,0.9-1.9-2.7,3,Dec/2020/850000.0/SOLD-Nov/2014/520000.0/SOLD-Feb/1995/92000.0/SOLD,0
69-winter-crescent-reservoir-vic-3073,Reservoir,700000,02-Dec-2020,3,1,4,651,m2,House,https://www.domain.com.au/69-winter-crescent-reservoir-vic-3073-2016580577,Secure Parking*-Garden*-Close to schools-Close to shops-Close to transport,0.6-0.7-0.9,3,Nov/2020/700000.0/SOLD-Jan/1980/29000.0/SOLD,0
6-rubicon-street-reservoir-vic-3073,Reservoir,1175000,01-Dec-2020,3,2,3,796,m2,House,https://www.domain.com.au/6-rubicon-street-reservoir-vic-3073-2016543885,Air conditioning-Built in wardrobes-Close to schools-Close to shops-Close to transport-Fireplace(s)-Garden-Secure Parking-Floorboards-Formal Lounge-Separate Dining,0.5-0.7-5.3,3,Nov/2020/1175000.0/SOLD-Mar/2004/273000.0/SOLD,1
50-dredge-street-reservoir-vic-3073,Reservoir,865000,30-Nov-2020,3,2,4,877,m2,House,https://www.domain.com.au/50-dredge-street-reservoir-vic-3073-2016616011,Internal Laundry*-Secure Parking*-Heating*-Garden*,0.8-0.8-7.6,3,Nov/2020/865000.0/SOLD-Jun/1978/71000.0/SOLD-Sep/1976/24250.0/SOLD,0
711-gilbert-road-reservoir-vic-3073,Reservoir,835000,28-Nov-2020,3,1,2,524,m2,House,https://www.domain.com.au/711-gilbert-road-reservoir-vic-3073-2016591382,Internal Laundry*-Dishwasher*-Air conditioning-Close to schools-Close to shops-Close to transport-Garden-Secure Parking-Formal Lounge-Separate Dining,0.2-2.4-2.7,3,Nov/2020/835000.0/SOLD,0
205-spring-street-reservoir-vic-3073,Reservoir,796000,26-Nov-2020,3,1,2,675,m2,House,https://www.domain.com.au/205-spring-street-reservoir-vic-3073-2016588702,Internal Laundry*-Garden*,1.1-2.2-2.4,3,Nov/2020/796000.0/SOLD-Apr/2015/610000.0/SOLD-Jul/1979/27500.0/SOLD,0
13-cameron-street-reservoir-vic-3073,Reservoir,992500,26-Nov-2020,3,1,1,499,m2,House,https://www.domain.com.au/13-cameron-street-reservoir-vic-3073-2016614323,Internal Laundry*-Bath*-Heating*-Garden*-Close to schools-Close to shops-Close to transport,1-1.6-2.7,3,Nov/2020/992500.0/SOLD-Mar/1986/66000.0/SOLD,0
